timestamp,current_DO,forecast_DO,pH,flow_rate,energy_consumption,pump_condition,aeration_condition,reconstruction_error,anomaly_detected,risk_score,risk_level,risk_reasons,recommendation
2025-01-02 00:00:00,4.069836108897596,4.1518431267909905,7.196124483980768,943.6805790869904,63.00440132248495,1.0,1.0,0.3144650398050657,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 01:00:00,4.07756638709751,4.211913567843685,7.340700972990485,964.991516536944,59.78064166500112,1.0,1.0,0.3188827411200195,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 02:00:00,4.276034022536981,4.262379847470795,7.268425054639696,916.38309070662,52.37011143945388,1.0,1.0,0.3206460735568167,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 03:00:00,4.34463824368397,4.297583570406511,7.277834526747892,1009.06031391729,64.59057301015528,1.0,1.0,0.32070106691878764,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 04:00:00,4.308495637888241,4.315374450509974,7.275675076275668,1003.2656314688824,61.21149003966711,1.0,1.0,0.3122819472162422,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 05:00:00,4.261073686636649,4.310373140420452,7.310399241324414,1066.8737812593026,60.50017230029951,1.0,1.0,0.3117439388457918,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 06:00:00,4.263184597216899,4.292781917996618,7.282984496257416,1110.8066316250722,62.18734242410018,1.0,1.0,0.310093308534011,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 07:00:00,4.3619072149127005,4.254096880565342,7.323654867762369,1283.352518302902,64.6300921743127,1.0,1.0,0.3078602833933317,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 08:00:00,4.131440397646455,4.195809413086899,7.301803600936462,1261.5091957113978,65.58447990674972,1.0,1.0,0.30938138354667755,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 09:00:00,3.931479517609296,4.132870027892226,7.252350420562506,1272.4030081969845,67.28296178835993,1.0,1.0,0.3128554040730232,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 10:00:00,3.9868750344961312,4.0473429500069615,7.229013095135588,1406.720148529415,70.00825613086954,1.0,1.0,0.3238108438676274,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
2025-01-02 11:00:00,3.878299633692136,3.943948150195036,7.23173559836192,1352.9081326595692,76.29204118332346,1.0,1.0,0.3349108466440615,0,0,LOW,,STP operating conditions appear normal. Continue routine monitoring.
